hotel,is_canceled,lead_time,arrival_date,stays_in_week_nights,adults,children,babies,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_year,arrival_month,arrival_quarter,arrival_day_of_week,total_nights,total_guests,match_room_type,lead_time_bucket,has_special_request,is_high_risk,lead_time_bucket_encoded,meal_BB,meal_FB,meal_HB,meal_SC,meal_Undefined,market_segment_Aviation,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,distribution_channel_Corporate,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,distribution_channel_Undefined,deposit_type_No Deposit,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Contract,customer_type_Group,customer_type_Transient,customer_type_Transient-Party,reserved_room_type_A,reserved_room_type_B,reserved_room_type_C,reserved_room_type_D,reserved_room_type_E,reserved_room_type_F,reserved_room_type_G,reserved_room_type_H,reserved_room_type_L,assigned_room_type_A,assigned_room_type_B,assigned_room_type_C,assigned_room_type_D,assigned_room_type_E,assigned_room_type_F,assigned_room_type_G,assigned_room_type_H,assigned_room_type_I,assigned_room_type_K,assigned_room_type_L
2,1,88,2015-07-01,4,2,0,0,PRT,0,0,0,0,0,76.5,0,1,Canceled,2015-07-01,2015,7,3,2,4,2,1,Medium,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,65,2015-07-01,4,1,0,0,PRT,0,0,0,0,0,68.0,0,1,Canceled,2015-04-30,2015,7,3,2,4,1,1,Medium,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,92,2015-07-01,4,2,0,0,PRT,0,0,0,0,0,76.5,0,2,Canceled,2015-06-23,2015,7,3,2,4,2,1,Long,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,100,2015-07-02,2,2,0,0,PRT,0,0,0,0,0,76.5,0,1,Canceled,2015-04-02,2015,7,3,3,2,2,1,Long,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,79,2015-07-02,3,2,0,0,PRT,0,0,0,0,0,76.5,0,1,Canceled,2015-06-25,2015,7,3,3,3,2,1,Medium,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,3,2015-07-02,3,1,0,0,PRT,0,0,0,1,0,58.67,0,0,Check-Out,2015-07-05,2015,7,3,3,3,1,1,Last_minute,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,63,2015-07-02,3,1,0,0,PRT,0,0,0,0,0,68.0,0,0,Canceled,2015-06-25,2015,7,3,3,3,1,1,Medium,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,62,2015-07-02,3,2,0,0,PRT,0,0,0,0,0,76.5,0,1,No-Show,2015-07-02,2015,7,3,3,3,2,1,Medium,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,43,2015-07-03,2,2,0,0,PRT,0,0,0,0,0,86.0,0,0,Check-Out,2015-07-05,2015,7,3,4,2,2,1,Medium,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,43,2015-07-03,2,2,0,0,PRT,0,0,0,1,0,43.0,0,0,Check-Out,2015-07-05,2015,7,3,4,2,2,1,Medium,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
